机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
300005,探路者,2009-09-21,2009-06-30,2009-06-30,合并本期,招募说明书,60851188.36,,,5542733.49,3959585.86,3208302.8,,,,47613829.58,,,,121175640.09,,,,,,35701650.66,495000.0,,,,,699362.34,,,1827727.94,250560.31,,38974301.25,160149941.34,,,,5799772.24,20553285.0,,6885315.76,,,2921100.47,,,1240000.0,37399473.47,12647222.23,,,,,,,12647222.23,50046695.7,50000000,24878269.03,1639431.14,,,,33585545.47,110103245.64,,,,110103245.64,160149941.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2009-10-26,2009-09-30,2009-09-30,合并本期,上市公告书,395366454.32,,,3229423.83,4435912.62,2874842.12,,,,50587146.82,,,,456493779.71,0.0,,,,,35607754.59,1239721.29,,,,,559087.7,,,1657280.15,250560.31,,39314404.04,495808183.75,,0.0,,14457973.59,23714825.52,,5480860.54,,,12583990.31,,,1500000.0,57737649.96,,,,,,,,,57737649.96,67000000,329478269.03,1639431.14,,,,39952833.62,438070533.79,,,,438070533.79,495808183.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2010-03-18,2009-12-31,2009-12-31,合并本期,定期报告,409543658.72,,,5107592.56,683441.37,5908458.5,,,,70508353.52,,,,491751504.67,0.0,,,,,36531503.95,,,,,,656145.53,,,3565218.03,732832.0,,41485699.51,533237204.18,,0.0,,32469621.74,16167572.63,4077664.98,3783388.65,,,19015526.81,,,,75513774.81,,,,,,,833333.3,833333.3,76347108.11,67000000,329478269.03,6228476.5,,,,54183350.54,456890096.07,,,,456890096.07,533237204.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2010-04-21,2010-03-31,2010-03-31,合并本期,定期报告,328056550.09,,,7363108.14,8977969.83,14516936.29,,,,67560659.67,,,,426475224.02,0.0,,,,,89914881.08,76500.0,,,,,893238.43,,,9545304.37,732832.0,,101162755.88,527637979.9,,0.0,,9875569.86,26894518.47,,2425011.49,,,20235033.91,,,,59430133.73,,,,,,,583333.31,583333.31,60013467.04,67000000,329478269.03,6228476.5,,,,64917767.33,467624512.86,,,,467624512.86,527637979.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2010-08-16,2010-06-30,2010-06-30,合并本期,定期报告,311401636.97,,,7514721.55,15040724.53,2890652.34,,,,63659104.93,,,,400506840.32,0.0,,,,,92222510.08,8229549.0,,,,,1020634.33,,,8664279.59,732832.0,,110869805.0,511376645.32,,0.0,,15082061.06,10584708.11,,7152201.13,,,9477916.25,,,,42296886.55,,,,,,,333333.32,333333.32,42630219.87,134000000,262478269.03,6228476.5,,,,66039679.92,468746425.45,,,,468746425.45,511376645.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2010-10-27,2010-09-30,2010-09-30,合并本期,定期报告,330666927.79,,,8905648.63,5076536.83,7620812.53,,,,75453295.3,,,,427723221.08,0.0,,,,,91733260.08,19210549.0,,,,,1110432.21,,,2547143.69,732832.0,,115334216.98,543057438.06,,0.0,,24677765.88,20883532.29,,4924106.16,,,18521887.98,,,,69007292.31,,,,,,,83333.33,83333.33,69090625.64,134000000,262478269.03,6228476.5,,,,71260066.89,473966812.42,,,,473966812.42,543057438.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2011-03-18,2010-12-31,2010-12-31,合并本期,定期报告,379406296.27,,,7729076.15,4396832.49,5716201.81,,,,89217438.94,,,2472472.11,488938317.77,0.0,,,,,109110589.69,19450228.0,,,,,1555948.71,,,6027436.29,1080544.92,0.0,137224747.61,626163065.38,,0.0,,57361089.47,30352490.61,7996981.46,12680984.24,,,19041181.3,,,0.0,127432727.08,,,,,,,,,127432727.08,134000000,263823069.03,11819330.88,,,,89087938.39,498730338.3,,,,498730338.3,626163065.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2011-04-19,2011-03-31,2011-03-31,合并本期,定期报告,351880435.54,,,8691718.89,13650593.69,12755879.69,,,,85494056.69,,,0.0,472472684.5,0.0,,,,,108314133.15,19504452.0,,,,,1533489.39,,,5304141.88,1080544.92,0.0,135736761.34,608209445.84,,0.0,,32105195.26,25525881.25,0.0,6037232.31,,,22034113.27,,,0.0,85702422.09,,,,,,,,,85702422.09,134000000,267857469.03,11819330.88,,,,108830223.84,522507023.75,,,,522507023.75,608209445.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2011-08-17,2011-06-30,2011-06-30,合并本期,定期报告,303020649.01,,,15158159.4,21496874.71,8924632.11,,,,114322382.38,,,0.0,462922697.61,0.0,,,,,124168124.6,20330141.0,,,,,1429211.51,,,4494446.91,1080544.92,0.0,151502468.94,614425166.55,,0.0,,28147394.96,27830412.78,0.0,8960627.83,,,12958390.62,,,0.0,77896826.19,,,,,,,,,77896826.19,268000000,137486569.03,11819330.88,,,,119222440.45,536528340.36,,,,536528340.36,614425166.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300005,探路者,2011-10-25,2011-09-30,2011-09-30,合并本期,定期报告,287921614.52,,,17584879.44,17078031.1,8952035.75,,,,157410520.78,,,0.0,488947081.59,0.0,,,,,124735445.46,31751802.23,,,,,2124129.69,,,3659564.97,1080544.92,0.0,163351487.27,652298568.86,,0.0,,24387861.57,51559394.09,0.0,4639273.86,,,21281014.23,,,0.0,101867543.75,,,,,,,,,101867543.75,268000000,141115669.03,11819330.88,,,,129496025.2,550431025.11,,,,550431025.11,652298568.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
