机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
603018,设计股份,2014-09-16,2014-01-01,2014-03-31,2014-03-31,合并本期,招募说明书,351524313.4,0.0,3596090.44,355120403.84,111344753.37,196530870.55,32219856.24,80779991.94,420875472.1,-65755068.26,,0.0,,,0.0,,20255197.48,0.0,,,0.0,20255197.48,-20255197.48,0.0,5000000.0,,0.0,5000000.0,5000000.0,2299500.0,0.0,7299500.0,-2299500.0,,,-88309765.74,354835465.44,266525699.7,,,39066486.99,-1370242.06,2996943.32,1052466.72,90353.55,,,,2299500.0,-224447.13,-7989.21,,-4582556.75,42294086.62,-147369670.31,0.0,-65755068.26,,,,,,266525699.7,354835465.44,,,,-88309765.74,,,,,,,,,,,,,,,,,,
603018,设计股份,2014-10-10,2014-01-01,2014-06-30,2014-06-30,合并本期,上市公告书,494014958.98,0.0,6430183.99,500445142.97,163140041.49,271556874.33,72332869.75,101030556.73,608060342.3,-107615199.33,,0.0,23445.0,,0.0,23445.0,70867342.32,0.0,,,0.0,70867342.32,-70843897.32,0.0,100000000.0,,0.0,100000000.0,70000000.0,43735652.4,0.0,113735652.4,-13735652.4,,,-192194749.05,354835465.44,162640716.39,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603018,设计股份,2014-10-28,2014-01-01,2014-09-30,2014-09-30,合并本期,定期报告,750160894.46,555396.37,67846961.67,818563252.5,279490528.72,350541980.35,101686759.78,286744824.95,1018464093.8,-199900841.3,,0.0,23445.0,,0.0,23445.0,36007407.45,22840000.0,,,0.0,58847407.45,-58823962.45,790560000.0,175000000.0,,0.0,965560000.0,150000000.0,51713041.49,0.0,201713041.49,763846958.51,,,505122154.76,354835465.44,859957620.2,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603018,设计股份,2015-03-30,2014-01-01,2014-12-31,2014-12-31,合并本期,定期报告,1109263970.47,,11843892.77,1121107863.24,356265839.67,487332108.63,122586489.06,146451630.17,1112636067.53,8471795.71,8611.1,199143.9,,,,207755.0,54826722.62,162840000.0,,,,217666722.62,-217458967.62,776810000.0,180000000.0,,,956810000.0,465000000.0,51858988.64,,516858988.64,439951011.36,,,230963839.45,354835465.44,585799304.89,,,165961003.63,54937498.22,15698683.08,2884787.69,361414.2,331235.85,0.0,0.0,12363908.07,-3732152.04,-8690798.71,0.0,-13349780.67,-267436945.06,49142941.45,0.0,8471795.71,,,,,,585799304.89,354835465.44,0.0,0.0,,230963839.45,,,,,,,,,,,,,,,,,,
603018,设计股份,2015-04-29,2015-01-01,2015-03-31,2015-03-31,合并本期,定期报告,332360990.76,,16401929.45,348762920.21,116383122.0,207574069.73,18500924.67,117228377.22,459686493.62,-110923573.41,,1552566.98,8000.0,,,1560566.98,31826254.88,,,,,31826254.88,-30265687.9,,100000000.0,,,100000000.0,5000000.0,575555.56,,5575555.56,94424444.44,,,-46764816.87,585799304.89,539034488.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603018,设计股份,2015-08-25,2015-01-01,2015-06-30,2015-06-30,合并本期,定期报告,528467310.79,,6588354.66,535055665.45,190578131.5,305440619.08,72814802.77,133493958.11,702327511.46,-167271846.01,280000000.0,3959962.64,58000.0,,,284017962.64,33220829.08,554996288.03,,,,588217117.11,-304199154.47,,250000000.0,,,250000000.0,5000000.0,38763013.32,,43763013.32,206236986.68,,,-265234013.8,598120932.77,332886918.97,,,74583934.81,16796534.67,11935741.73,1895467.34,1005297.94,18870.17,0.0,0.0,2898331.26,-7405460.67,-7295509.41,0.0,-71976401.82,-166460451.92,-23268200.11,,-167271846.01,,0.0,0.0,0.0,,332886918.97,598120932.77,0.0,0.0,,-265234013.8,,,,,,,,,,,,,,,,,,
603018,设计股份,2015-10-27,2015-01-01,2015-09-30,2015-09-30,合并本期,定期报告,788536890.05,33873.08,21630330.31,810201093.44,288050876.22,408816322.19,121760183.18,203776184.74,1022403566.33,-212202472.89,420000000.0,8205128.01,58000.0,,,428263128.01,35405456.38,724996288.03,,,,760401744.41,-332138616.4,,262000000.0,,,262000000.0,10000000.0,39069002.09,,49069002.09,212930997.91,,,-331410091.38,598120932.77,266710841.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603018,设计股份,2016-03-29,2015-01-01,2015-12-31,2015-12-31,合并本期,定期报告,1317591746.66,,42739738.9,1360331485.56,416760919.26,528375115.43,139874734.11,157605953.8,1242616722.6,117714762.96,560000000.0,9366136.68,1758056.6,,,571124193.28,49303178.48,591400000.0,,265598787.89,,906301966.37,-335177773.09,,262000000.0,,,262000000.0,60022115.19,45923690.05,,105945805.24,156054194.76,15261.77,,-61393553.6,585799304.89,524405751.29,,,160316089.96,63231516.13,25005266.99,3899338.6,3502431.31,108633.53,18029.46,0.0,9256192.5,-11506437.13,-11046909.15,-11832031.06,-97701757.25,-255450635.03,240725763.02,-810728.92,117714762.96,,,,,,524405751.29,585799304.89,0.0,0.0,,-61393553.6,,,,,,,,,,,,,,,,,,
603018,中设集团,2016-04-28,2016-01-01,2016-03-31,2016-03-31,合并本期,定期报告,491875924.62,,63696161.02,555572085.64,162694176.07,252907082.75,34218354.94,150297465.4,600117079.16,-44544993.52,170000000.0,1827116.44,333944.15,,,172161060.59,7984620.8,140000000.0,,,,147984620.8,24176439.79,,,,,,50000000.0,2265472.21,,52265472.21,-52265472.21,,,-72634025.94,524405751.29,451771725.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603018,中设集团,2016-08-23,2016-01-01,2016-06-30,2016-06-30,合并本期,定期报告,731490755.14,,4905188.13,736395943.27,302129981.5,367740857.91,68849845.8,132173050.79,870893736.0,-134497792.73,310000000.0,5297987.53,1265794.15,,,316563781.68,31231643.93,235000000.0,,68101875.06,,334333518.99,-17769737.31,,150000000.0,,,150000000.0,205000000.0,55841278.25,,260841278.25,-110841278.25,4909.01,,-263103899.28,524405751.29,261301852.01,,,92429455.44,17835585.99,13072995.46,2284957.17,2606263.42,-885391.9,-3723.65,,3625521.77,-7660160.53,-2757279.72,-258989.37,-22685012.02,-117312622.8,-114789391.99,,-134497792.73,,,,,,261301852.01,524405751.29,,,,-263103899.28,,,,,,,,,,,,,,,,,44844.0,
