机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
933,*ST神火,2005-04-21,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,285556240.38,,12356720.0,297912960.38,71694149.73,66985595.25,79737478.28,12477788.59,230895011.85,67017948.53,,,,,,,70393746.0,,,,,70393746.0,-70393746.0,,,,,,,4399308.69,,4399308.69,-4399308.69,,,-7775106.16,348241638.38,340466532.22,,,110990148.53,,21317517.01,4591486.43,193800.0,,,,4399458.71,,,,-35746615.8,-15027973.84,-1103421.44,37403548.93,127017948.53,,,,,,340466532.22,348241638.38,,,0.0,-7775106.16,,,,,,,,,,,,,,,,,,
933,*ST神火,2005-07-26,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,751481217.72,,20092965.06,771574182.78,149912280.3,155315506.63,256737182.9,27563541.38,589528511.21,182045671.57,,,166500.0,,,166500.0,138724008.21,397773705.03,,,,536497713.24,-536331213.24,,380000000.0,,,380000000.0,61691421.56,8494369.41,,70185790.97,309814209.03,,,-44471332.64,348241638.38,303770305.74,,,251938487.78,-63871.24,903134.27,42656350.23,10386106.19,48064579.9,-50000.25,,,8494369.41,79520.67,,,-37149014.44,-71426613.47,-71787377.48,182045671.57,,,,0.0,,303770305.74,348241638.38,,,0.0,-44471332.64,,,,,,,,,,,,,,,,,,
933,*ST神火,2005-10-20,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,1110515397.23,,27501997.74,1138017394.97,232273115.91,231241144.89,348875945.42,48194627.87,860584834.09,277432560.88,,,166500.0,,,166500.0,224545620.88,397773705.03,,,,622319325.91,-622152825.91,,490000000.0,,,490000000.0,61691421.56,282464767.38,,344156188.94,145843811.06,,,-198876453.97,348241638.38,149365184.41,,,368244156.84,853960.2,65432738.29,24580725.95,581400.0,694436.02,,,16539219.41,,,,-35944511.94,-160192296.0,-70946965.34,67589697.45,277432560.88,,,,0.0,,149365184.41,348241638.38,,,0.0,-198876453.97,,,,,,,,,,,,,,,,,,
933,*ST神火,2006-02-17,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,1521902265.94,,31551745.76,1553454011.7,359257555.49,360291243.6,490242837.07,118942394.41,1328734030.57,224719981.13,,,2221148.24,,,2221148.24,673757087.02,,,,,673757087.02,-671535938.78,,764500000.0,,,764500000.0,206000000.0,360806685.34,,566806685.34,197693314.66,,,-249122642.99,444718244.51,195595601.52,,,474916149.48,6374080.81,98219293.01,3978677.0,775200.0,-2076476.21,5876386.63,,31261566.87,2760216.81,,,-36739378.49,-182814566.26,-172156447.55,-5654720.97,224719981.13,,,,0.0,,195595601.52,444718244.51,,,0.0,-249122642.99,,,,,,,,,,,,,,,,,,
933,*ST神火,2006-04-19,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,403693005.03,,4167659.32,407860664.35,102239709.49,103104624.29,129241903.75,62731494.19,397317731.72,10542932.63,,,38953.4,,,38953.4,91593335.18,,,,,91593335.18,-91554381.78,,160000000.0,,,160000000.0,,19929471.97,,19929471.97,140070528.03,,,59059078.88,195595601.52,254654680.4,,,75718398.45,,30258617.81,668193.5,193800.0,,,,19929471.97,1990641.94,,,-6251701.96,-72335189.89,-73206794.82,33577495.63,10542932.63,,,,0.0,,254654680.4,195595601.52,,,0.0,59059078.88,,,,,,,,,,,,,,,,,,
933,*ST神火,2006-07-18,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,886159406.47,0.0,35588144.71,921747551.18,206407601.01,198549726.81,269434697.83,60349747.59,734741773.24,187005777.94,0.0,0.0,38953.4,,0.0,38953.4,143856380.48,49666700.0,,,0.0,193523080.48,-193484127.08,0.0,520000000.0,,0.0,520000000.0,435000000.0,84869599.11,0.0,519869599.11,130400.89,0.0,,-6347948.25,195595601.52,189247653.27,,,216193418.8,3276478.98,0.0,60816466.75,2035580.73,23465249.9,0.0,,37475528.53,3941523.54,,,-23347164.15,-61191783.71,-71835843.32,-3823678.11,187005777.94,,0.0,0.0,0.0,,189247653.27,195595601.52,0.0,0.0,0.0,-6347948.25,,,,,,,,,,,,,,,,,,
933,*ST神火,2006-10-18,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,1247527677.27,,41850666.2,1289378343.47,318155175.85,308691113.04,382681908.86,64161150.28,1073689348.03,215688995.44,,200000.0,429425.4,,,629425.4,352736497.19,,,,,352736497.19,-352107071.79,,550000000.0,,1003942.02,551003942.02,270000000.0,108215721.65,,378215721.65,172788220.37,,,36370144.02,195595601.52,221929665.06,,,303982504.78,1538632.38,93892590.4,5350214.54,193800.0,2292576.78,,,59817709.05,-48920320.92,,,-56085223.09,-129707064.99,-46695624.72,30029201.23,215688995.44,,,,,,221929665.06,195595601.52,,,0.0,26334063.54,,,,,,,,,,,,,,,,,,
933,*ST神火,2007-03-16,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,1846325219.31,,62325063.34,1908650282.65,596159277.67,431861491.28,499557374.44,129149988.76,1656728132.15,251922150.5,4991048.31,200000.0,828169.89,,,6019218.2,1213887812.44,274216760.0,,,,1488104572.44,-1482085354.24,,1830000000.0,,,1830000000.0,310000000.0,118700795.47,,428700795.47,1401299204.53,,,171136000.79,240044897.5,411180898.29,,,419168412.73,3610223.27,138382115.81,4667361.45,193800.0,-398744.49,2998108.72,,67241151.98,-74453744.95,,,-19009930.87,-63643904.64,-218023205.55,-8809492.96,251922150.5,,,,,,411180898.29,240044897.5,,,0.0,171136000.79,,,,,,,,,,,,,,,,,,
933,*ST神火,2007-04-18,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,626939330.23,0.0,6880407.4,633819737.63,296816009.67,135222390.81,144286883.85,28090873.26,604416157.59,29403580.04,0.0,0.0,30000.0,,0.0,30000.0,510403665.55,0.0,,,0.0,510403665.55,-510373665.55,0.0,395000000.0,,0.0,395000000.0,40000000.0,31232626.53,0.0,71232626.53,323767373.47,0.0,,-157202712.04,411180898.29,253978186.25,,,185263170.88,12050759.73,47984636.38,1193819.95,10813.06,419527.5,,,30609959.87,0.0,-50252.24,,-114017301.16,-175484015.03,41422461.1,,29403580.04,,,,,,253978186.25,411180898.29,0.0,0.0,,-157202712.04,,,,,,,,,,,,,,,,,,
933,*ST神火,2007-08-15,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,1508062355.8,,26153985.88,1534216341.68,927232689.29,280364587.36,350690518.17,70461577.41,1628749372.23,-94533030.55,,,290000.0,,,290000.0,453208156.85,102000000.0,,,,555208156.85,-554918156.85,,1025000000.0,,,1025000000.0,350000000.0,295452388.16,,645452388.16,379547611.84,,,-269903575.56,411180898.29,141277322.73,,,375363362.65,6028941.0,76348298.75,2412713.51,,593585.15,2089103.75,,67004204.58,,-196700.49,0.0,-135240243.31,-268957662.24,-219978633.9,,-94533030.55,,,,,,141277322.73,411180898.29,,,,-269903575.56,,,,,,,,,,,,,,,,,,
