机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
2357,富临运业,2010-04-23,2010-01-01,2010-03-31,2010-03-31,合并本期,定期报告,65763375.38,,4093600.02,69856975.4,13406481.31,14383759.89,4225153.71,4450677.55,36466072.46,33390902.94,,,98250.0,,700000.0,798250.0,6389042.62,,,,400132.58,6789175.2,-5990925.2,297370000.0,3500000.0,,,300870000.0,9500000.0,1697100.07,6113935.67,17311035.74,283558964.26,,,310958942.0,72469680.37,383428622.37,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2010-08-24,2010-01-01,2010-06-30,2010-06-30,合并本期,定期报告,106644041.54,,23065356.74,129709398.28,23016884.31,24008978.46,10190850.01,10861159.21,68077871.99,61631526.29,,,299449.6,,700000.0,999449.6,32681857.41,,,,3714430.67,36396288.08,-35396838.48,297370000.0,23500000.0,,,320870000.0,49500000.0,10270040.57,7475521.53,67245562.1,253624437.9,,,279859125.71,72469680.37,352328806.08,,,26271817.2,-1292593.0,5933669.57,1293164.43,634580.6,15848.16,,,1248741.07,-16304.48,-93538.5,0.0,56955.92,1762553.75,25816631.57,,61631526.29,,,,,,352328806.08,72469680.37,,,,279859125.71,,,,,,,,,,,,,,,,,,
2357,富临运业,2010-10-27,2010-01-01,2010-09-30,2010-09-30,合并本期,定期报告,165665960.49,,25504210.16,191170170.65,32031301.96,34086055.87,13642258.08,11277591.86,91037207.77,100132962.88,,,3547800.79,,700000.0,4247800.79,38904496.78,9790000.0,,,6021141.01,54715637.79,-50467837.0,297370000.0,23500000.0,,,320870000.0,49500000.0,10544154.57,7549975.76,67594130.33,253275869.67,,,302940995.55,72469680.37,375410675.92,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2011-03-22,2010-01-01,2010-12-31,2010-12-31,合并本期,定期报告,223009134.89,0.0,23096100.63,246105235.52,40800917.22,45424526.79,15505117.13,14034160.38,115764721.52,130340514.0,,0.0,4138575.97,,13395000.0,17533575.97,48146421.39,0.0,,66716932.92,1505636.38,116368990.69,-98835414.72,297370000.0,23500000.0,,0.0,320870000.0,49500000.0,11996984.21,7511382.11,69008366.32,251861633.68,,,283366732.96,72469680.37,355836413.33,,,50975981.12,-883225.02,13480061.27,2716196.99,1369078.12,148088.05,,,1840163.94,-250104.52,337857.57,0.0,985962.75,9737764.97,44792944.42,5089744.34,130340514.0,,,,,,355836413.33,72469680.37,,,,283366732.96,,,,,,,,,,,,,,,,,,
2357,富临运业,2011-04-23,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,62803671.2,0.0,3435754.61,66239425.81,5033927.26,16344169.29,6910713.91,4720322.33,33009132.79,33230293.02,0.0,0.0,4950912.0,0.0,0.0,4950912.0,10585670.31,0.0,,24082310.38,337144.13,35005124.82,-30054212.82,0.0,0.0,0.0,0.0,0.0,0.0,295158.47,28725.65,323884.12,-323884.12,,,2852196.08,355836413.33,358688609.41,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2011-08-25,2011-01-01,2011-06-30,2011-06-30,合并本期,定期报告,119727834.62,0.0,6590733.38,126318568.0,10522525.63,28986919.66,14802303.5,7654945.79,61966694.58,64351873.42,0.0,0.0,3972310.35,0.0,459760.0,4432070.35,24293296.26,0.0,,25934901.35,4180436.18,54408633.79,-49976563.44,0.0,20000000.0,,0.0,20000000.0,20000000.0,12377410.72,0.0,32377410.72,-12377410.72,0.0,,1997899.26,355836413.33,357834312.59,,,35039234.41,517738.31,8732451.29,2219182.25,1335808.51,-2215349.08,,,680584.06,-3898125.25,-1017598.32,0.0,0.0,-4596992.87,27554940.11,0.0,64351873.42,,,,,,357834312.59,355836413.33,,,,1997899.26,,,,,,,,,,,,,,,,,,
2357,富临运业,2011-10-26,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,188540783.55,0.0,7070345.5,195611129.05,17830873.08,42377190.68,23655546.77,29131632.55,112995243.08,82615885.97,,0.0,3696197.88,,459760.0,4155957.88,44522790.34,0.0,,29347681.93,999999.07,74870471.34,-70714513.46,0.0,20000000.0,,0.0,20000000.0,20000000.0,12796326.03,0.0,32796326.03,-12796326.03,,,-894953.52,355836413.33,354941459.81,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2012-04-23,2011-01-01,2011-12-31,2011-12-31,合并本期,定期报告,253102627.38,0.0,20763248.99,273865876.37,32976432.88,57231584.1,28552416.34,20483449.27,139243882.59,134621993.78,0.0,0.0,4025261.14,25102035.02,0.0,29127296.16,90483092.47,0.0,,43395822.73,1370332.38,135249247.58,-106121951.42,0.0,20000000.0,0.0,0.0,20000000.0,20000000.0,13595005.17,0.0,33595005.17,-13595005.17,,,14905037.19,355836413.33,370741450.52,,,93725527.24,5075001.68,21520907.06,2749855.39,3086154.35,-23603086.95,,,1497459.08,-5422118.96,-809880.8,174288.46,,2841050.71,33786836.52,0.0,134621993.78,,,,,,370741450.52,355836413.33,,,,14905037.19,,,,,,,,,,,,,,,,,,
2357,富临运业,2012-04-23,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,109244859.99,0.0,969315.53,110214175.52,7685561.31,25368343.45,15819701.08,10488150.76,59361756.6,50852418.92,,275000.0,-38600.0,,0.0,236400.0,19277068.86,0.0,,56903113.08,352360.07,76532542.01,-76296142.01,0.0,,,0.0,,,1734926.67,0.0,1734926.67,-1734926.67,,,-27178649.76,370741450.52,343562800.76,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2012-08-03,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,194910715.79,0.0,19486384.66,214397100.45,17234984.06,46700232.53,28925904.79,16293260.84,109154382.22,105242718.23,0.0,275000.0,18642174.32,4200000.0,0.0,23117174.32,49650070.75,0.0,,56573522.6,816017.31,107039610.66,-83922436.34,0.0,0.0,0.0,0.0,0.0,20000000.0,33306960.37,0.0,53306960.37,-53306960.37,0.0,,-31986678.48,370741450.52,338754772.04,,,63920978.89,486904.0,17359343.65,1571488.75,1463313.1,-12147598.53,,,-2980235.06,-5611568.13,-126930.52,471408.24,-36091.25,-7713501.86,48585206.95,0.0,105242718.23,,,,,,338754772.04,370741450.52,,,,-31986678.48,,,,,,,,,,,,,,,,,,
2357,富临运业,2012-10-26,2012-01-01,2012-09-30,2012-09-30,合并本期,定期报告,286976414.36,0.0,24395953.7,311372368.06,25373652.61,68301967.01,37952182.21,26772185.72,158399987.55,152972380.51,,275000.0,20722468.53,4797500.0,0.0,25794968.53,84888676.92,0.0,,60027397.98,1202627.59,146118702.49,-120323733.96,4000000.0,,,0.0,4000000.0,20000000.0,33306960.37,0.0,53306960.37,-49306960.37,,,-16658313.82,370741450.52,354083136.7,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2013-03-09,2012-01-01,2012-12-31,2012-12-31,合并本期,定期报告,382305844.43,,41053692.87,423359537.3,35568563.76,95853132.93,49047952.06,34394112.06,214863760.81,208495776.49,75600000.0,275000.0,18967853.48,4800000.0,,99642853.48,165260776.84,,,44739980.1,65948468.18,275949225.12,-176306371.64,4300000.0,,,,4300000.0,20000000.0,34686564.86,,54686564.86,-50386564.86,,,-18197160.01,384794583.1,366597423.09,,,84825038.36,6752310.07,39916599.72,3173352.84,4194749.44,1329340.88,,,466144.68,-2978604.61,-2609199.04,739906.82,-23724.37,27839916.05,44869945.65,,208495776.49,,,,,,366597423.09,384794583.1,,,,-18197160.01,,,,,,,,,,,,,,,,,,
2357,富临运业,2013-04-25,2013-01-01,2013-03-31,2013-03-31,合并本期,定期报告,141714165.68,,2835102.95,144549268.63,8940967.97,34656619.0,13021555.1,16184086.67,72803228.74,71746039.89,,,290355.79,,,290355.79,23488980.84,,,21624657.72,2280680.43,47394318.99,-47103963.2,,,,,,,926200.0,,926200.0,-926200.0,,,23715876.69,366597423.09,390313299.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2013-08-22,2013-01-01,2013-06-30,2013-06-30,合并本期,定期报告,208682500.87,,20662940.49,229345441.36,17281003.01,59099683.97,30926588.8,18946718.41,126253994.19,103091447.17,,100000.0,1364231.19,,,1464231.19,52414634.06,155000000.0,,21624657.72,1024482.71,230063774.49,-228599543.3,,,,,,,41886520.14,67191.85,41953711.99,-41953711.99,,,-167461808.12,366597423.09,199135614.97,,,51073637.22,2983027.74,28727892.3,2197943.47,2155880.19,-132826.27,,,,735201.55,2444460.12,-120209.86,23724.37,-10265542.61,23268258.95,,103091447.17,,,,,,199135614.97,366597423.09,,,,-167461808.12,,,,,,,,,,,,,,,,,,
2357,富临运业,2013-10-29,2013-01-01,2013-09-30,2013-09-30,合并本期,定期报告,323631112.05,,25520433.62,349151545.67,27511348.05,87429829.89,39514573.34,27975095.71,182430846.99,166720698.68,151293750.0,100000.0,1450870.07,,,152844620.07,80489980.09,305000000.0,,21624657.72,1369291.0,408483928.81,-255639308.74,,,,,,,41974355.69,67191.85,42041547.54,-42041547.54,,,-130960157.6,366597423.09,235637265.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,富临运业,2014-02-28,2013-01-01,2013-12-31,2013-12-31,合并本期,定期报告,415091935.89,,32395789.05,447487724.94,41171526.34,116836977.68,48575501.4,33130610.57,239714615.99,207773108.95,150000000.0,1493750.0,3337310.26,,2380000.0,157211060.26,98263030.03,305000000.0,,21624657.72,3206927.8,428094615.55,-270883555.29,400000.0,,,,400000.0,,42041140.39,,42041140.39,-41641140.39,,,-104751586.73,366597423.09,261845836.36,,,69505401.39,26054507.77,61283989.68,4947514.59,4054089.67,-1236241.62,0.0,,0.0,-3497000.14,4120371.41,-205576.22,23724.37,5968317.99,36754010.06,0.0,207773108.95,,0.0,0.0,,,261845836.36,366597423.09,0.0,0.0,,-104751586.73,,,,,,,,,,,,,,,,,,
2357,富临运业,2014-04-25,2014-01-01,2014-03-31,2014-03-31,合并本期,定期报告,114345736.5,,8553161.07,122898897.57,9251766.25,37202069.76,9621868.6,14476138.74,70551843.35,52347054.22,153412500.0,602895.87,17218.59,0.0,0.0,154032614.46,11755335.54,250000000.0,,0.0,426401.29,262181736.83,-108149122.37,0.0,0.0,,0.0,0.0,0.0,11784000.0,35352.0,11819352.0,-11819352.0,0.0,,-67621420.15,261845836.36,194224416.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
