机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
600868,梅雁吉祥,2005-04-20,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,153187990.01,153187990.01,135631081.77,135631081.77,3004092.45,1148860.47,15514488.14,,16537514.49,,,5950771.48,,,7641734.94,-5055540.89,,1985651.56,23576.1,,,-3093465.43,33362.44,0.0,-3126827.87,1958845.68,-5085673.55,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2005-08-23,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,402958378.85,402958378.85,298765467.97,298765467.97,9126924.2,2023682.25,54168022.72,,28083380.61,,,5243889.21,,,6416576.9,22451367.21,1950.0,2110524.94,29528.1,,,24534314.05,3072864.45,0.0,21461449.6,14637676.22,6823773.38,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2005-10-25,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,571198238.32,571198238.32,419142624.17,419142624.17,12362437.33,2754027.74,65256563.45,,67282558.68,,,5547388.97,,,6712596.56,16660012.48,1950.0,2324382.44,36594.92,,,18949750.0,3785824.91,0.0,15163925.09,8713216.92,6450708.17,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2006-04-29,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,698070959.58,698070959.58,536561427.93,536561427.93,15256283.46,2766684.36,87261829.17,,110272769.91,,,3489468.62,,,4449655.92,-46108910.71,50001950.0,3443612.65,868948.56,,,6467703.38,3998592.93,0.0,2469110.45,1345618.92,1123491.53,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2006-04-29,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,145210633.8,145210633.8,113676589.72,113676589.72,2515829.03,707277.49,14358535.56,,47589495.51,,,109265.0,,,902370.83,-32625457.68,,321479.66,95283.26,,,-32399261.28,25917.66,0.0,-32425178.94,-25682787.17,-6742391.77,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2006-08-16,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,349921173.02,349921173.02,216334549.84,216334549.84,5718074.25,1991999.06,30718339.2,,89462184.02,,,44258.14,,,1349268.12,7089552.91,72000.0,382562.06,228874.54,,,7315240.43,800767.31,0.0,6514473.12,12165446.44,-5650973.32,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2006-10-13,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,555788225.56,555788225.56,320704168.5,320704168.5,8966891.07,3284555.44,48598114.35,,160650573.28,,,2588387.36,,,3296661.46,19468971.74,72000.0,687310.06,1324574.47,,,18903707.33,2024049.5,0.0,16879657.83,22413323.78,-5533665.95,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2007-04-30,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,731263268.4,731263268.4,510035373.87,510035373.87,13142542.78,4846347.07,333384448.9,,322948674.58,,,-7913027.42,,,1696243.05,-459310903.17,146600.0,469033.11,285018435.16,,,-743713705.22,2729962.21,0.0,-746443667.43,-700928400.79,-45515266.64,,,,,,,,,,,,,,,,,,
600868,梅雁吉祥,2007-04-30,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,144036875.11,144036875.11,104876918.33,104876918.33,1817892.45,1256971.73,-9436745.63,,77391443.88,-39155079.51,,,,,,7285473.86,,4972885.3,296134.75,,,11962224.41,389102.15,0.0,11573122.26,8250205.82,3322916.44,,0.004,0.004,,,,,,,,,,,,,,,
600868,梅雁吉祥,2007-07-24,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,353036503.28,353036503.28,235835282.82,235835282.82,7556738.83,1569916.33,10279128.25,,149089525.73,-92262944.1,122400.0,1497877.33,,,,42589132.75,,6389547.08,2114749.94,,,46863929.89,788694.71,0.0,46075235.18,31599063.51,14476171.67,,0.017,0.017,,,,,,,,,,,,,,,
