机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
300068,南都电源,2010-04-27,2010-01-01,2010-03-31,2010-03-31,合并本期,定期报告,354939068.47,354939068.47,278156176.73,278156176.73,979177.11,24696544.03,16533926.38,,4414181.36,6769605.38,,,,,,23389457.48,,124166.37,-311633.9,,,23825257.75,1316061.25,0.0,22509196.5,22509196.5,,,0.12,0.12,,,,,,,,,,,,,,,
300068,南都电源,2010-08-10,2010-01-01,2010-06-30,2010-06-30,合并本期,定期报告,645253363.98,645253363.98,522041511.85,522041511.85,1609259.97,46942571.44,35541369.65,,1730888.54,5231108.89,,,,,,32156653.64,,3817944.09,1371399.3,1051853.05,,34603198.43,1980022.73,0.0,32623175.7,32623175.7,,,0.16,0.16,-358612.92,32264562.78,32264562.78,,,,,,,,,,,,
300068,南都电源,2010-10-26,2010-01-01,2010-09-30,2010-09-30,合并本期,定期报告,1008506101.59,1008506101.59,828004725.61,828004725.61,2013526.7,70072958.3,53540040.7,,-3565859.7,7247129.49,,,,,,51193580.49,,5169281.6,2069373.99,1065780.64,,54293488.1,3716536.56,0.0,50576951.54,50576951.54,,,0.23,0.23,-348825.84,50228125.7,50228125.7,,,,,,,,,,,,
300068,南都电源,2011-03-30,2010-01-01,2010-12-31,2010-12-31,合并本期,定期报告,1453122178.92,1453122178.92,1196905869.3,1196905869.3,3335355.88,99404666.73,74914294.07,,-8104059.64,3558231.14,,,,,,83107821.44,,14236251.58,3340231.91,1067417.89,,94003841.11,12373066.49,0.0,81630774.62,81637800.65,-7026.03,,0.36,0.36,-577935.92,81052838.7,81059864.73,-7026.03,,,,,,,,,,,
300068,南都电源,2011-04-30,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,318917291.62,318917291.62,265240160.16,265240160.16,899363.66,22250527.37,15718608.67,,-6494146.51,1907986.64,,,,,,19394791.63,,2953200.0,650389.59,,,21697602.04,3622460.63,0.0,18075141.41,18075141.41,,,0.07,0.07,37062.05,18112203.46,18112203.46,0.0,,,,,,,,,,,
300068,南都电源,2011-08-25,2011-01-01,2011-06-30,2011-06-30,合并本期,定期报告,579478340.01,579478340.01,487142401.08,487142401.08,2206441.44,46875897.19,33653826.07,,-10358635.75,1359412.9,,,,,,18598997.08,,3144196.02,1055719.05,,,20687474.05,3893366.72,0.0,16794107.33,16794107.33,,,0.07,0.07,-172025.57,16622081.76,16622081.76,,,,,,,,,,,,
300068,南都电源,2011-10-26,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,900328296.21,900328296.21,741145532.09,741145532.09,2506279.28,71046570.61,56743054.71,,-14452096.75,6266239.85,,,,,,37072716.42,,4305525.76,1675589.25,,,39702652.93,10618521.54,0.0,29084131.39,29084131.39,,,0.11,0.11,-685624.99,28398506.4,28398506.4,,,,,,,,,,,,
300068,南都电源,2012-03-20,2011-01-01,2011-12-31,2011-12-31,合并本期,定期报告,1684258370.59,1684258370.59,1372033892.82,1372033892.82,4337840.64,104812508.91,92881814.86,,-14837063.02,15012166.28,,2601669.58,,,0.0,112618879.68,,7466668.97,3083582.79,,0.0,117001965.86,30419137.91,0.0,86582827.95,71298394.81,15284433.14,,0.24,0.24,-567081.38,86015746.57,70731313.43,15284433.14,,,,,,,,,,,
300068,南都电源,2012-04-24,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,618244641.85,618244641.85,523399724.71,523399724.71,906408.85,34158201.9,26795240.12,,-3564475.44,913800.82,,,,,0.0,35635740.89,,1199244.69,1001838.47,,0.0,35833147.11,8002978.09,0.0,27830169.02,21673783.54,6156385.48,,0.07,0.07,154103.68,27984272.7,21827887.22,6156385.48,,,,,,,,,,,
300068,南都电源,2012-08-25,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,1440527719.71,1440527719.71,1221122578.47,1221122578.47,3321722.59,71310433.82,56823578.83,,-1182527.17,6646447.75,0.0,1111111.11,0.0,0.0,0.0,83596596.53,,2382743.52,2557797.25,57570.95,0.0,83421542.8,17541996.05,0.0,65879546.75,50514075.76,15365470.99,,0.17,0.17,65242.01,65944788.76,50579317.77,15365470.99,,,,,,,,,,,
