Date,Code,AdjClose,Close,ST,FreeFloatA,Industry,TotalShare
2017-05-15,SZE_002869,31.232577733,31.39,0.0,2952.0,通信设备,
2017-05-16,SZE_002869,34.356830491,34.53,0.0,2952.0,通信设备,
2017-05-17,SZE_002869,37.789528586,37.98,0.0,2952.0,通信设备,
2017-05-18,SZE_002869,41.570471414,41.78,0.0,2952.0,通信设备,
2017-05-19,SZE_002869,45.729508526,45.96,0.0,2952.0,通信设备,
2017-05-22,SZE_002869,50.306439318,50.56,0.0,2952.0,通信设备,
2017-05-23,SZE_002869,47.052838516,47.29,0.0,2952.0,通信设备,
2017-05-24,SZE_002869,51.759117352,52.02,0.0,2952.0,通信设备,
2017-05-25,SZE_002869,48.525416249,48.77,0.0,2952.0,通信设备,
2017-05-26,SZE_002869,49.749247743,50.0,0.0,2952.0,通信设备,
2017-05-31,SZE_002869,51.639719157,51.9,0.0,2952.0,通信设备,
2017-06-01,SZE_002869,52.495406219,52.76,0.0,2952.0,通信设备,
2017-06-02,SZE_002869,50.027843531,50.28,0.0,2952.0,通信设备,
2017-06-05,SZE_002869,48.246820461,48.49,0.0,2952.0,通信设备,
2017-06-06,SZE_002869,46.435947844,46.67,0.0,2952.0,通信设备,
2017-06-07,SZE_002869,48.037873621,48.28,0.0,2952.0,通信设备,
2017-06-08,SZE_002869,45.570310933,45.8,0.0,2952.0,通信设备,
2017-06-09,SZE_002869,46.047903711,46.28,0.0,2952.0,通信设备,
2017-06-12,SZE_002869,42.485857573,42.7,0.0,2952.0,通信设备,
2017-06-13,SZE_002869,43.172397192,43.39,0.0,2952.0,通信设备,
2017-06-14,SZE_002869,42.615205617,42.83,0.0,2952.0,通信设备,
2017-06-15,SZE_002869,43.86888666,44.09,0.0,2952.0,通信设备,
2017-06-16,SZE_002869,43.441043129,43.66,0.0,2952.0,通信设备,
2017-06-19,SZE_002869,44.028084253,44.25,0.0,2952.0,通信设备,
2017-06-20,SZE_002869,43.321644935,43.54,0.0,2952.0,通信设备,
2017-06-21,SZE_002869,43.052998997,43.27,0.0,2952.0,通信设备,
2017-06-22,SZE_002869,43.351494483,43.57,0.0,2952.0,通信设备,
2017-06-23,SZE_002869,45.152417252,45.38,0.0,2952.0,通信设备,
2017-06-26,SZE_002869,44.923570712,45.15,0.0,2952.0,通信设备,
2017-06-27,SZE_002869,44.416128385,44.64,0.0,2952.0,通信设备,
2017-06-28,SZE_002869,42.734603811,42.95,0.0,2952.0,通信设备,
2017-06-29,SZE_002869,42.77440321,42.99,0.0,2952.0,通信设备,
2017-06-30,SZE_002869,43.281845537,43.5,0.0,2952.0,通信设备,
2017-07-03,SZE_002869,43.381344032,43.6,0.0,2952.0,通信设备,
2017-07-04,SZE_002869,42.963450351,43.18,0.0,2952.0,通信设备,
2017-07-05,SZE_002869,45.63995988,45.87,0.0,2952.0,通信设备,
2017-07-06,SZE_002869,47.231935807,47.47,0.0,2952.0,通信设备,
2017-07-07,SZE_002869,46.764292879,47.0,0.0,2952.0,通信设备,
2017-07-10,SZE_002869,44.217131394,44.44,0.0,2952.0,通信设备,
2017-07-11,SZE_002869,43.42114343,43.64,0.0,2952.0,通信设备,
2017-07-12,SZE_002869,44.057933801,44.28,0.0,2952.0,通信设备,
2017-07-13,SZE_002869,42.933600802,43.15,0.0,2952.0,通信设备,
2017-07-14,SZE_002869,42.585356068,42.8,0.0,2952.0,通信设备,
2017-07-17,SZE_002869,38.326820461,38.52,0.0,2952.0,通信设备,
2017-07-18,SZE_002869,38.078074223,38.27,0.0,2952.0,通信设备,
2017-07-19,SZE_002869,37.998475426,38.19,0.0,2952.0,通信设备,
2017-07-20,SZE_002869,37.461183551,37.65,0.0,2952.0,通信设备,
2017-07-21,SZE_002869,37.461183551,37.65,0.0,2952.0,通信设备,
2017-07-24,SZE_002869,37.590531595,37.78,0.0,2952.0,通信设备,
2017-07-25,SZE_002869,37.112938816,37.3,0.0,2952.0,通信设备,
2017-07-26,SZE_002869,36.267201605,36.45,0.0,2952.0,通信设备,
2017-07-27,SZE_002869,37.829327984,38.02,0.0,2952.0,通信设备,
2017-07-28,SZE_002869,37.003490471,37.19,0.0,2952.0,通信设备,
2017-07-31,SZE_002869,37.03334002,37.22,0.0,2952.0,通信设备,
2017-08-01,SZE_002869,37.600481444,37.79,0.0,2952.0,通信设备,
2017-08-02,SZE_002869,37.570631896,37.76,0.0,2952.0,通信设备,
2017-08-03,SZE_002869,37.948726179,38.14,0.0,2952.0,通信设备,
2017-08-04,SZE_002869,37.311935807,37.5,0.0,2952.0,通信设备,
2017-08-07,SZE_002869,37.69003009,37.88,0.0,2952.0,通信设备,
2017-08-08,SZE_002869,37.112938816,37.3,0.0,2952.0,通信设备,
2017-08-09,SZE_002869,36.565697091,36.75,0.0,2952.0,通信设备,
2017-08-10,SZE_002869,35.829408225,36.01,0.0,2952.0,通信设备,
2017-08-11,SZE_002869,35.27221665,35.45,0.0,2952.0,通信设备,
2017-08-14,SZE_002869,35.889107322,36.07,0.0,2952.0,通信设备,
2017-08-15,SZE_002869,36.456248746,36.64,0.0,2952.0,通信设备,
2017-08-16,SZE_002869,37.401484453,37.59,0.0,2952.0,通信设备,
2017-08-17,SZE_002869,37.510932798,37.7,0.0,2952.0,通信设备,
2017-08-18,SZE_002869,37.381584754,37.57,0.0,2952.0,通信设备,
2017-08-21,SZE_002869,38.306920762,38.5,0.0,2952.0,通信设备,
2017-08-22,SZE_002869,37.849227683,38.04,0.0,2952.0,通信设备,
2017-08-23,SZE_002869,37.998475426,38.19,0.0,2952.0,通信设备,
2017-08-24,SZE_002869,36.247301906,36.43,0.0,2952.0,通信设备,
2017-08-25,SZE_002869,37.232337011,37.42,0.0,2952.0,通信设备,
2017-08-28,SZE_002869,39.391454363,39.59,0.0,2952.0,通信设备,
2017-08-29,SZE_002869,39.202407222,39.4,0.0,2952.0,通信设备,
2017-08-30,SZE_002869,38.655165496,38.85,0.0,2952.0,通信设备,
2017-08-31,SZE_002869,40.147642929,40.35,0.0,2952.0,通信设备,
2017-09-01,SZE_002869,39.759598796,39.96,0.0,2952.0,通信设备,
2017-09-04,SZE_002869,39.192457372,39.39,0.0,2952.0,通信设备,
2017-09-05,SZE_002869,39.192457372,39.39,0.0,2952.0,通信设备,
2017-09-06,SZE_002869,38.525817452,38.72,0.0,2952.0,通信设备,
2017-09-07,SZE_002869,39.301905717,39.5,0.0,2952.0,通信设备,
2017-09-08,SZE_002869,38.80441324,39.0,0.0,2952.0,通信设备,
2017-09-11,SZE_002869,40.525737212,40.73,0.0,2952.0,通信设备,
2017-09-12,SZE_002869,39.112858576,39.31,0.0,2952.0,通信设备,
2017-09-13,SZE_002869,39.291955868,39.49,0.0,2952.0,通信设备,
2017-09-14,SZE_002869,39.003410231,39.2,0.0,2952.0,通信设备,
2017-09-15,SZE_002869,38.326820461,38.52,0.0,2952.0,通信设备,
2017-09-18,SZE_002869,38.12782347,38.32,0.0,2952.0,通信设备,
2017-09-19,SZE_002869,38.34672016,38.54,0.0,2952.0,通信设备,
2017-09-20,SZE_002869,38.784513541,38.98,0.0,2952.0,通信设备,
2017-09-21,SZE_002869,39.202407222,39.4,0.0,2952.0,通信设备,
2017-09-22,SZE_002869,42.087863591,42.3,0.0,2952.0,通信设备,
2017-09-25,SZE_002869,40.844132397,41.05,0.0,2952.0,通信设备,
2017-09-26,SZE_002869,38.157673019,38.35,0.0,2952.0,通信设备,
2017-09-27,SZE_002869,41.978415246,42.19,0.0,2952.0,通信设备,
2017-09-28,SZE_002869,43.64004012,43.86,0.0,2952.0,通信设备,
2017-09-29,SZE_002869,43.321644935,43.54,0.0,2952.0,通信设备,
2017-10-09,SZE_002869,44.276830491,44.5,0.0,2952.0,通信设备,
2017-10-10,SZE_002869,44.674824473,44.9,0.0,2952.0,通信设备,
2017-10-11,SZE_002869,42.933600802,43.15,0.0,2952.0,通信设备,
2017-10-12,SZE_002869,43.281845537,43.5,0.0,2952.0,通信设备,
2017-10-13,SZE_002869,42.883851555,43.1,0.0,2952.0,通信设备,
2017-10-16,SZE_002869,39.859097292,40.06,0.0,2952.0,通信设备,
2017-10-17,SZE_002869,39.89889669,40.1,0.0,2952.0,通信设备,
2017-10-18,SZE_002869,39.073059178,39.27,0.0,2952.0,通信设备,
2017-10-19,SZE_002869,39.361604814,39.56,0.0,2952.0,通信设备,
2017-10-20,SZE_002869,39.888946841,40.09,0.0,2952.0,通信设备,
2017-10-23,SZE_002869,40.286940822,40.49,0.0,2952.0,通信设备,
2017-10-24,SZE_002869,39.699899699,39.9,0.0,2952.0,通信设备,
2017-10-25,SZE_002869,40.028244734,40.23,0.0,2952.0,通信设备,
2017-10-26,SZE_002869,39.68,39.88,0.0,2952.0,通信设备,
2017-10-27,SZE_002869,38.6,38.6,0.0,2952.0,通信设备,
2017-10-30,SZE_002869,36.9,36.9,0.0,2952.0,通信设备,
2017-10-31,SZE_002869,37.4,37.4,0.0,2952.0,通信设备,
2017-11-01,SZE_002869,38.68,38.68,0.0,2952.0,通信设备,
2017-11-02,SZE_002869,38.19,38.19,0.0,2952.0,通信设备,
2017-11-03,SZE_002869,37.17,37.17,0.0,2952.0,通信设备,
2017-11-06,SZE_002869,37.89,37.89,0.0,2952.0,通信设备,
2017-11-07,SZE_002869,37.7,37.7,0.0,2952.0,通信设备,
